Item Name,Sale Price,Discount,Free Shipping,Total reviews
"Mother's Day Gift for her • Custom Morse Code Bracelet •  Birthday's Gift for Sister, Mother, Best Friend, Daughter, Wife •  'Ann' Bracelet",35.25,(25% off),O,8.1k
DIY Bracelet Kit / Ages 8+ / Personalized Bracelets / Party Crafts / Gift Kit for Her / Customized Party Kits / Valentine Gift,12.95,No discount,O,428
"Custom Birthstone Bracelet, Thin Gold Chain Bracelet, Delicate Gemstone Bracelet, Boho Bracelet, Beaded Bracelet, LEILAjewelryshop",43.00,No discount,O,17.8k
"Natural Hand Made Lava Bracelet from Canary Islands, Black Lava with Red Jasper, Can be Used With Essential Oils, Keep Aroma",24.73,(25% off),O,237
Olive leaves and rosemary bracelet Greenery flower bracelet wedding Magaela Wrist corsage for bride Bridesmaid bracelets Natural bracelet,23.88,No discount,X,9k
14K Rose gold Sapphire Bracelet Genuine Sapphire Beaded Bracelet • Bridal or birthday gift Dainty Rose Gold Bracelet Delicate Jewelry,76.18,No discount,O,749
"Morse Code Bracelet, Until We Meet Again, Miscarriage gift, Memorial Gift for men, Sympathy Gift for loss of father mother dad, Remembrance",40.50,(10% off),O,2.6k
Custom Name Bracelet with Curb Chain - Personalized Name Jewelry -  Birthday Gift for Her *NELLY BRACELET*,37.60,(20% off),X,52k
Actual Handwriting Curved Bar Bracelet - Slider Bar Bracelet - Signature Bracelet - Wedding Jewelry- Mother's Gift - Christmas gift,28.50,(25% off),O,7.8k
"Carnelian bracelet, gold filled or silver, minimalist jewelry, natural stone, carnelian jewelry, gold bracelet, sterling silver, crystal",29.45,No discount,X,17.2k
"SALE 5 Kingman Turquoise cuff bracelet, sterling silver (see description) free shipping",378.00,No discount,O,134
Coral Pink Beaded Bar Bracelet - Gold Filled or Sterling Silver - Nuelle,31.00,No discount,X,5.2k
"Mother's Day Gift for her • Custom Morse Code Bracelet •  Birthday's Gift for Sister, Mother, Best Friend, Daughter, Wife •  'Ann' Bracelet",35.25,(25% off),O,8.1k
Nautical Surfer Bracelet,10.50,No discount,O,4.8k
"Projection Photo Cuban Chain Bracelet, Minimalist Simple Couples Personalized Photo Chain Statement Custom Family Pet Photo Bracelet",23.89,(25% off),O,7.8k
"Bridal Bracelet for Bride, Boho Wedding Jewelry, Flowers Bracelet for Gift, Wedding Bracelet with flowers, Wedding Bracelet",48.02,No discount,O,139
Gold Hammered Cuff | 14kt Gold Filled Cuff | Thin Gold Cuff | Gold Cuff Bracelet,40.00,(20% off),O,11.3k
"The Good Luck Moon Charm Bracelet with Gold Crescent Moon charm,  Freshwater Pearls, Amethyst Gems & Gold Plated Curb Chain",58.00,No discount,X,127
"Dainty Blue Tourmaline Gemstone Bracelet, Tiny 2mm Blue Tourmaline Beaded Bracelet, Gold Fill or Sterling Silver Stacking Bracelet",49.13,No discount,X,2.2k
Triple Stack Cobra Bracelet by West Jem Collective | Statement Bracelet | Everyday Jewelry,32.24,(25% off),O,16
"Mens Bracelet, 7mm Black Polished Curb Bracelet, Personalized Bracelet, Engraved Initials, Stainless Steel Bracelet for Men",36.40,No discount,O,2.1k
14k Gold Three-Stone Bracelet / Personalized Multi-Stone Family Bracelet / Custom Made Birthstone Gifts for Women / Mother's Day Gifts,116.00,(20% off),O,1.4k
Dainty Bezel Set Diamond Bracelet in 14k Rose Gold / Holiday Gift Idea,165.32,(15% off),O,31.4k
"Gold Filled 3 mm and 5 mm Roundel Beaded Layering Bracelet, Isabella Celini, Gold Filled Beads, Stretch Stacking Bracelet, Boho Chic",56.95,No discount,O,8.4k
"Garnet Bracelet, January Birthstone Bracelet, Bracelets for Women, Mothers Day Gift for Mom,  Delicate Bracelet Gold, Garnet Jewelry GB6B1",48.00,No discount,O,3.8k
Personalised Silver Baby Christening ID Bracelet • Baptism • Engraved Jewellery • Confirmation •,23.37,(20% off),X,14.1k
"Custom Gift for Her • Hidden Message • Morse Code Bracelet • Unique Mother's day Gift for Sister, Wife, Mom, Daughter -'Lou' bracelet",31.50,(25% off),X,8.1k
"Moon Bracelet Bangle, Personalised Photo Locket Bracelet, Adjustable, Alternative Custom Photo Gift, MOON LOCKET BRACELET",37.18,No discount,O,39.8k
Custom Engraved Brown/Black Leather Beads Bracelet with Small Silver Beads • Personalized Names Navigator Jewelry Gift for Him Dad Husband,29.50,(50% off),X,12k
"Gold, Silver Personalized Adjustable Leather Bracelets • Word of the Year Bracelet • Custom Name, Date Unisex Bracelet for Men and Women",25.50,(15% off),O,4k
"Engraved Handwriting Bracelets, Gold Signature Bracelet, Memorial Gift, Handwritten Cuff Bracelet, Handwritten Jewelry",46.40,(20% off),O,19.2k
Open Teardrop Bracelet - Silver Bangle Bracelet - Adjustable Bracelet - Gift for Her - Simple Stacking Bracelet - Minimal Bracelets,52.30,No discount,O,552
Oscar Hand Ring - Fashion Jewellery - Bridal jewelry - Laser Cut Leather - Statement Jewelry - Slave bracelet - Geometric hand ring,42.95,No discount,O,421
"Double Strap Leather Cuff,Black Leather Bracelet, Leather Wristband,Adjustable Engraved Bracelet,Mens Bracelet with buckle,Message Cuff",42.90,(35% off),O,1.4k
Silver Pole Star Bracelet • Mother Of Pearl Enamel Pole Star Bracelet •  Gold North Star Bracelet • Dainty Rose Gold Pole Star Bracelet,23.60,(40% off),O,11.9k
"Gold Cross with Diamond Bracelet, Cross Gift Bracelet, 14k Solid Gold Bracelet with Diamond and Cross, Gold Cross Bracelet Gift, Cross Gift",56.99,(40% off),O,37.7k
"Sterling Silver Cuff Bracelets For Women, Woven Flat Bead Bracelet, Sterling Silver Band bracelet Beadweaving / ""Echo""",78.45,No discount,O,336
"Thin Silver Bracelet, Sterling Silver, Box Chain Bracelet",30.40,(20% off),O,11.3k
"Adjustable Bracelet, Evil Eye Bracelets, Beaded Bracelets for Women, Miyuki Bracelets, Tila Bracelets, Boho Bracelets",9.60,(20% off),X,104
"Leather Bracelet with Engraved Name or Text in Leather, Personalized gift for Men, Customized Bracelet, Gift For Him, Fathersday Gift",44.34,No discount,X,467
"Custom Cuff Bracelet by Caitlyn Minimalist • Personalized Bracelet: Coordinates, Dates, Roman Numerals • Anniversary Gift for Her • BM06F30",32.55,(30% off),O,570.3k
"Gold Bar Bracelet, Silver Bar Bracelet, Personalized Bracelet, Dainty Gold Bracelet for Women, Initial Bracelet, Tiny Bar Bracelet,Bracelet",14.99,(40% off),X,37.7k
"Triple Wrapped Leather Bracelet With Heart, Leather Women Bracelet, Gold Bracelet For Women, Metal Beaded Bracelet, Black Cuff Bangle.",41.25,(25% off),X,1.9k
"Genuine Garnet Silver Bracelet, Rhodolite Garnet Jewelry, Pink Stone Bracelet, Dainty Silver Bracelet, Garnet Beaded Bracelet, Gemstone",38.66,(15% off),X,1.3k
"Wood Beaded Bracelet, Wooden Bracelet, Natural Stretch Bracelet, Surfer Bracelets, Men Beaded Bracelet, Womens Bead Bracelet, Gifts for Man",9.99,No discount,X,1.7k
"Dainty Boho Multicolor Gold Bracelet with Feather Charm, Minimalist Beaded Colorful Cute Summer Friendship Bracelet Gift for Her",31.84,No discount,X,14.4k
"Oversized coin charm bracelet, Big Gold tone  coin bracelet, large retro style chain bracelet, medallion bracelet, Athina coin bracelet",49.46,No discount,X,985
Crystal Bracelet Set •  Initial Bracelet • Crystal Bracelet • Layering Bracelet • Delicate Bracelet • Layered Bracelet • Bridesmaid BGS2,32.30,(15% off),O,72.4k
Mama Bracelet • Name Bracelet • Personalized Charm Bracelet • Mothers Day Gift • Mum Gift for Her • Personalized Childrens Names 13 SLD,32.30,(15% off),O,72.4k
"Family Garden Birth Flower Bracelet, Custom Bracelet, Multiple Disk Bracelet, Family Tree, Personalized Mom Gift, Sisters, Grandma",35.63,No discount,O,8.9k
"14K Gold Paper Clip Bracelet, Chain Bracelet, Handcrafted Bracelet, Initial Bracelet, Gold Bracelet, Gift For Her",169.00,No discount,O,4
"Sapphire Bracelet, Blue Sapphire Bracelet, Gemstone Bracelet, Dainty Bracelet, September Birthstone Bracelet",18.75,(25% off),X,11.9k
"14k Hand Bracelet, 14K Solid Gold Delicate Diamond Slave Bracelet, Body Jewelry, Finger Bracelet, Chain Ring Set for Women, Bracelet Ring",200.40,(25% off),O,5.9k
Turquoise Bracelet // .925 Sterling Silver Turquoise Bead Bracelet // December Birthstone Bracelet // Birthstone Jewelry / Gemstone Bracelet,27.63,(10% off),O,13.1k
"Tiny Paperclip Chain Bracelet, Minimal Chain Bracelet Gold Filled Stacking Bracelet, Tiny Chain Bracelet, Dainty Paperclip Bracelet, For Her",44.92,No discount,X,2.3k
Personalized Paracord Bracelet Camo / Mens Jewelry / Unisex Wrap Bracelet / Rope Bracelet / Mens Accessories / One Size Fits All / Necklush,37.00,No discount,O,4.6k
"Birthstone Charm Bracelet for women Initial Jewelry Best unique gift for Mom Necklace Personalized Jewelry Personalized gift, Gift for Her",23.05,(10% off),X,2.5k
"Forget Me Not Bracelet, Real Pressed flower Bracelet, Handmade 18K Gold Plated Hexagon Bracelet, Blue, Pink, White, Real Dry Flower Bracelet",21.25,No discount,X,891
Custom Engraved Disc Monogram Bangle – Engraved Monogram Bracelet – Engraved Monogram jewelry - Wedding gift – Bridesmaid gift - Christmas,39.20,(20% off),O,12.7k
Skinny Name Bracelet | Personalized Stacking Cuff | Mother's Day Kids Name Minimalist Jewelry | Hand Stamped New Mom Push Gift | Baby Shower,24.00,No discount,X,7.4k
"Mother daughter heart bracelets. Choose rose gold, silver or gold. Dainty heart bracelet",15.81,(15% off),X,6.2k
Custom Engraved Leather Beaded Bracelet with Small Name Charms • Woman Wrap Around Bracelet • Jewelry for Her Mom • Mother's Day Gift,47.50,(50% off),O,12k
"Satellite Layering Bracelet Sterling Silver, Delicate Layering Bracelet, Thin Silver Chain Bracelet",22.40,(20% off),O,11.3k
"Freshwater Pearl Beaded Bracelet, Beaded Bracelet, Pearl Bracelet, Seed Bead Jewelry, Beach Bracelet, Genuine Pearl Stretch Bracelet",15.00,No discount,X,1.5k
Handwriting Jewelry - Personalized Handwriting Charm Bracelet - Signature Bangle - Handwritten Note Keepsake - Signature Jewelry - 1291,36.00,No discount,O,7k
"Personalized Bracelet, Gemstone Bracelet, Birthstone Bracelet, Raw Stone Bracelet, Gold Cuff Bracelet, Personalized Jewelry, Gemstone Cuff.",94.00,No discount,O,1.5k
Zodiac Bracelet|Constellation Bracelet with Zircon Crystals|Celestial Jewelry Zodiac Sign Bracelet|Birthday Gift|Mom Gift|Sister Bracelet,22.00,(20% off),O,4.8k
"Leme Surf Friendship Bracelet - Summer Edition, Handmade bracelet, Boho bracelet, Surfer bracelet, Friendship bracelet, Pineapple Island",7.97,No discount,X,18k
Leather Wrap Bracelet For Women | Bordeaux Red + Sterling Silver Buckle | Personalized Engraved Handmade Jewelry Boho Style | Mens Bracelet,35.95,(10% off),O,1.9k
Men's Beaded Bracelet - Vinyl Record Beads - Groomsmen Gift - Gift for Boyfriend - Bracelet for Husband - Stocking Stuffer - Music Gift,38.25,(15% off),O,149
"Coin Charm Bracelet, 24K Gold Plated, Chain Bracelet, Toggle Closure, Root of Desire, Chunky Chain, Layering Bracelet, Greek Jewelry, Gift",278.81,No discount,O,614
Garnet Jewelry Set | Lariat Necklace + Dangle Bracelet + Chandelier Earrings | Sterling Silver Jewelry Set | Red Garnet Gemstones,129.49,(25% off),O,71
"Hammered Rose Gold Bangle Set of 6, Skinny Stacking Bracelet, Thin Bangles",150.00,No discount,O,4.8k
"Turqoise Martisor Bracelet, March bracelet, Greek martakia, Protection Greek Red Bracelet, Martenitsa romania",9.10,No discount,X,672
OM AH HUNG bangle bracelet,341.10,No discount,X,81
"Initial Name 18k Gold Plated Bracelet with Diamond, Cz Diamond Bracelet with Two Side Letters",35.43,(20% off),O,92
"Minimalist paperclip chain bracelet, gold or silver plated brass, adjustable size! Lemonandpink",29.56,No discount,X,2.4k
"Foxtail bracelet made of 750 gold 18 cm, movable gold bracelet, 18k gold bracelet, lobster clasp, shiny, handmade, foxtail",636.73,No discount,X,303
"Tennis Bracelet, CZ Bracelet, Gold and Crystal Bracelet, Pave Tennis Bracelet, White Crystal Pave Tennis Bracelet in Sterling Silver or Gold",49.60,(20% off),O,11.3k
Initial Bangle Bracelet for Women Mom Friend Gold Plated or Silver Plated Disc Personalized Bangle Bracelet Hand Stamped Bangle with Letter,22.95,(10% off),X,23.6k
14k Gold Jade Stone Bracelet • Row Jade Stone Bracelet • Natural Jade Stone Bracelet • Gold Jade Stone Bracelet • Dainty Jade Stone Bracelet,60.83,(40% off),O,11.9k
Valentine Chain Bracelet | 14k Solid Gold Link Chain Bracelet | Unisex Minimalist Thin Bracelet | Simple Stacking Chain Bracelet Gold,159.99,(20% off),O,1.2k
"14kt Gold Filled Paperclip Chain Personalized Bracelet, Silver Gold Bracelet, Jewelry Gifts for Her, Bracelets for Women Gold Chain Bracelet",39.00,(25% off),O,35.8k
"Mini Dainty Pearl Bracelet, Tiny Three Freshwater Pearl on Cable Chain Bracelet, Delicate Small Pearl Bracelet (Miranda)",55.10,No discount,X,204
Custom Pavé Initial Bracelet - Personalized Letter Bracelet - Sideway Initial Jewelry - Stackable Gold Bracelet  - Mom Gift *BELLE BRACELET*,37.60,(20% off),X,52k
Two-Sided Diamond Bracelet / Double-Sided 14k Gold Diamond by the Yard Bracelet / 14k Gold Diamond Station Bracelet  / Dainty Gold Bracelet,177.37,(25% off),O,5.9k
"JOEY Half Chain Half Freshwater Pearl Bracelet Men, Real Pearl Bracelet, Curb Chain Bracelet, Cultured Pearls, 6mm Round Pearl, Gift for Him",17.35,(30% off),X,4.4k
"Minimalist Skinny Bar Chain Bracelet Dainty Bracelet Petite Bracelet Bar Bracelet Adjustable Bracelet Minimalist Bar, Minimalist Bracelet",34.00,No discount,X,751
Rope Chain Bracelet | 14k Yellow Solid Gold Twisted Rope Chain | Minimalist Unisex Anklet Chain | Chic Everyday Jewelry Gold | Men Bracelet,159.99,(20% off),O,1.2k
"Dainty Emerald Bracelet, Tiny 2mm Natural Emerald Gemstones, Delicate Stacking Bracelet May Birthstone, Gold Fill or Sterling Silver",55.77,No discount,X,2.2k
"Gold wave cuff, stacking wristband bracelet boho delicate minimal free people style 24k gold plated dainty statement cuff simple wave design",24.56,(10% off),X,2.8k
Alessia Heart Charm Leather Personalised Bracelet • Wrap Bracelet • Gift For Her • Birthday Gift • Bloom Boutique,29.74,(20% off),X,15.6k
The Best Hair-tie Bracelets! Our CLIMB set includes 5 bracelets in beautiful summery neutrals. Pull your hair up in style with a bracelet,18.99,No discount,X,459
5 mm Gold Personalized Beaded Name Bracelet | Beaded Name Bracelet | Womens Beaded Name Bracelet | Personalized Gifts for Mom,12.00,No discount,X,6k
"925 Red String Bracelet, Fresh Water Pearl Bracelet, Protection Jewelry, Kaballah Red Bracelet, Red Amulet Jewelry, Red String Bracelet",20.00,No discount,X,271
Adjustable bracelet with an ancient greek coin for women and men,48.32,(15% off),X,1.1k
Pearl Anklet // Shell Anklet // Beach Jewelry // Beach Anklet // Tobillera // Beach Ankle Bracelet // Ankle Bracelet for Women // Bracciali,22.63,No discount,X,1.7k
UK London England Map Bracelet Unique Travel Gift for Men or Women,31.50,No discount,X,3.6k
"Custom Name Bracelet, Personalized Bracelet, Personalized Jewelry, Bridesmaids Bracelets",19.00,No discount,X,4.6k
"Heart charms bracelet, gold heart bracelet, gold chunky bracelet, big gold bracelet, retro style bracelet, aesthetic jewelry",81.86,No discount,X,985
"Single pearl bracelet, Pearl Thread Brace, Bridesmaid gift, Pearl bracelet, Made in Greece,",9.10,No discount,X,672
"Pearl and leather adjustable shimmer bracelet, freshwater pearl bracelet, pearl and Leather Bracelet, Leather Cord Bracelet with pearls",30.00,No discount,O,9k
"Moth Bracelet.  Adjustable Hand Stamped Moth Cuff Bracelet, Celestial Cuff, Custom Matching Friendship Bracelet, Lunar Witch Celestial",23.90,No discount,X,1.7k
Personalisierte Armband - echte Blumen Armband mit oder ohne Wunschgravur - Hochzeit Armband Blumen- Brautjungfern Geschenk A172,31.72,No discount,X,19.3k
"Chunky Silver Chain Bracelet, Chunky Silver Chain Bracelet, Matte Silver Link Bracelet, Oversized Link Chain Bracelet, Chain Bracelet",59.00,No discount,O,111
"Mother’s Day Bracelet, Mom Bracelet, Mommy Bracelet, Mama Bracelet, Madre Bracelet Grandmother Bracelet",5.51,(55% off),X,5.9k
Rose Quartz and Rose Gold Bracelet - Minimalist Jewelry - Pink and Rose Gold Bracelet - Birthstone Bead Bar Bracelet,30.60,(10% off),O,13.1k
"IVY BRACELET, Paper Clip Bracelet, Small Link Chain, Dainty Stackable Chain, Layered Small Paper Clip Bracelet, Bold Bracelet, Gold Bracelet",34.40,(20% off),X,12.5k
"BELLA // Silver bridal bracelet, Crystal wedding bracelet, wedding bracelet, gemstone bracelet, bridesmaid bracelet, bridesmaid gift",53.11,No discount,O,2.6k
"Lapis Lazuli Dainty Gemstone Bracelet, Tiny Blue Gemstone Beaded Bracelet, Skinny Stacking Bracelet, Gold Fill or 925 Sterling Silver",42.49,No discount,X,2.2k
Modern Butterfly Bracelet in Brushed Sterling Silver with Custom Words,79.00,No discount,O,5.4k
Pure 14k White Gold Bead Chain Bracelet - Tiny + Delicate 14k White Gold Bead Bracelet - Solid 14k White Gold Satellite Chain Bead Bracelet,118.00,No discount,O,1.1k
Éloise - Pearl Satellite Bracelet - 14k Gold Filled and Pearl Bracelet - Bridal Pearl Bracelet - Bridesmaids Gift -Pearl And Chain Bracelet,49.57,No discount,O,753
"BELLE Mother of Pearl Clover Heart Star Bracelet, White Beaded Bracelet, Stainless Steel Clasp, Homemade Jewelry, Bridesmaids Gift",21.14,(30% off),O,4.4k
Beaded Gold Bangle Bracelet | Dainty Gold Bracelet Gold Bangles 14k Gold Filled Bangle Set Minimalist Bracelet Bridesmaid Bracelet Minimal,60.00,No discount,O,5.1k
"Men's Personalised Leather Bracelet, Men's Engraved Bracelet, Custom Bracelet, Engraved bracelet, Gift for men, Man's bracelet, Gift for him",78.34,No discount,O,1.6k
"Traditional Greek evil eye bracelet,  Greek amulet, Lucky eye bracelet,Nazar jewellery, Protection bracelet, red  string evil eye bracelet,",11.37,No discount,X,672
"Handwriting Jewelry: Personalized Handwritten Signature Bracelet, Thin Gold Memorial and Bible Verse Bracelet, Sentimental Grandma Gift",37.99,(5% off),O,553
herkimer diamond cuff | herkimer bracelet | raw diamond bangle | april birthstone cuff | april birthstone bracelet | raw quartz cuff,146.00,No discount,O,3.4k
"Thin Gold Bangle, 1 Or 3 Dainty Bangle Bracelet, Simple Stacking Bangle, Rose Gold Cuff, Silver, Minimalist Jewelry | Celebration Bangles",69.99,No discount,O,5.1k
14k Gold Turquoise Stone Bracelet • Row Turquoise Stone Bracelet • Turquoise Gold Stone Bracelet • Dainty Turquoise Stone Bracelet,60.83,(40% off),O,11.9k
"Morganite & Pearl Bracelet, Morganite Bracelet, Beaded Bracelet, Crystal Jewelry, Pearl Bracelet, Morganite Jewelry, Dainty Jewelry",22.40,(30% off),O,1.3k
"Livadi cowrie shell bracelet, Handmade bracelet, Boho bracelet, Surfer bracelet, Beach bracelet, Stack bracelet, Bali, Pineapple Island",8.63,No discount,X,18k
"chunky chain bracelet, mixed chains bracelet, x large oversized bracelet woman, bracelet or man, heavy big industrial style bracelet",77.32,No discount,X,985
"Gold heart diamond bracelet, tiny heart diamond bracelet, valentines day gift, 14k rose, yellow, white gold, dainty heart",170.00,No discount,O,1.9k
Set of 2 or one Minimal Cuff Bracelets,79.02,No discount,O,657
Diamond Friendship Bracelet. 14k Solid Gold Diamond Bracelet. Gifts For Her. Valentines Day.,238.50,(10% off),O,82
CHIARA Gold Chain Bracelet | Curb Chain Ball Thick Stacking Bracelet | 14kt Gold Filled Minimalist Bracelet | Dainty Chain Bead Bracelet,105.33,No discount,O,383
"Half Cuban Chain Half Paperclip Bracelet, 14K Solid Gold Bracelet, 5,8 grams Real Gold, Dainty Gold Chain, Fine Jewelry, Christmas Gift",641.36,(40% off),O,117
"Remember you are braver than you believe, stronger than you feel and smarter than you think message bracelet - personalised with a name",146.06,No discount,O,1.6k
"minimalist bracelet made with thin cord and black beads for woman, man gift",9.21,(10% off),X,2.2k
"Art Deco Bracelet, Pearl Bracelet, Bridal Jewelry, Bridesmaids, Freshwater Pearl Bangle, 1920s Wedding Jewelry, SlLVER PEARL CC BRACELET",23.90,No discount,O,39.8k
"Coconut Bead Anklet, Handmade anklet, Surf anklet, Beach anklet, Ankle bracelet, Wood jewelry, Boho anklet, Surfer anklet, Pineapple Island",7.97,No discount,X,18k
"Family Tree Bracelet, Personalized Bangle Bracelet, Tree Bangle, Tree Bracelet, Personalized Jewelry, Initial Jewelry",24.00,No discount,O,11.6k
Custom Name Bead Bracelet with Thin Gold or Silver Accents | Heishi Bracelet,10.50,(25% off),X,8.6k
"Initial Bracelet Women, Figaro Chain Bracelet, Letter Bracelet Silver, Name Jewelry, Christmas Gift For Her, Daughter Gift, Teenager Gift",41.60,(20% off),O,19.2k
Peridot Bracelet | August Birthstone Jewelry | Green Natural Stone Bracelet | Fine Sterling Silver Bead Bracelet,32.90,(30% off),O,3.3k
"Cuff Style Italian Leather Bracelet with Oversized Turn Lock Hardware, Luxe Designer Style Leather Bracelet, Stacking Bracelet, Made in US",36.90,(10% off),O,967
Turquoise December Birthstone Bangle Gold Cuff Bangle Turquoise Bracelet Gold Gemstone Bangle Bracelet Adjustable Bangle,145.73,No discount,O,1.9k
"Hammered Gold Love Knot Hand Chain, Finger Bracelet",52.00,No discount,O,4.8k
Retro Orange resin bangle bracelet narrow bracelet hexagonal bracelet hand made jewellery,19.64,(35% off),X,3k
Your Handwriting Cuff Bracelet - actual handwriting personalised cuff - 14k gold fill / sterling silver bangle - child handwriting bracelet,130.13,No discount,O,2.2k
Kaleidoscope Disco Chain Bracelet,37.18,No discount,X,248
One Gold or Sterling Silver Bangle Bracelet • Thin Bangle Bracelet  • Hammered or Smooth Finish,27.20,(15% off),X,7.5k
"Dainty Labradorite Bracelet, Reiki  Jewelry, Stone of Transformation, Adjustable Crystal Bracelet, Genuine Gemstone Stacking Bracelet",30.40,(20% off),X,78.5k
